domain,url,for_sale,buy_now_price,all_prices_usd,summary
a.my,https://wind.my/,False,NONE,,A website page header with the phrase 'You don't know Wind? Skip to content'.
a.nf,https://a.nf/,True,NONE,,The domain a.nf is for sale.
a.nr,https://a.nr/login,False,NONE,,A bilingual sign-in page for Anr with login and registration options.
a.pe,https://www.aliexpress.com///_____tmd_____/punish?x5secdata=xfc0aMc6Ru8EdC12SW_kl55HR14ij4THS-OcPBJuhIUyPoBZGKftIVTidduH-DHLH2wu3-ljDQlsW0xA8cYggIjjtX5Wj9j0qyER4zJcC503n620oLaXMnwXLowZSKXHBNi5ZVgY7cMfV49zpPE4bRmMh08iCMchl7uVFRA8fv6lYedab3Qcia-WPdMpn50DsshJ5E339YsNx-vN1qW5nV5Tq8h4-ohsNYNyMh9I6v8po6BBCSRGMHG2Mw1IqBb-41ZpxQBgJhk_EZ8oVygbKUDxirKJwR2IogeIjnM5srRtgzPCAmmrcoeoAkPa1s8WTgaxbkRK1xoTTVYMG8HSWv2zw-tQI7Aolecb5N0i4BWgfLSFQS_4t_y8FsD7B3igOhbS8eF3s3hbAtlY88UhXIon8zLUQzy6YJujQgXzp_dSNfJErIPCW-BEEsKYhb9O3PkhdsElbrR5EF5L3RXZ_EqemAoBEkElES18ZTgX8oNWZMddMkhUGZ_68A31Edpt7AMwp_jCM8eLYV322n1Mwgix4Y-vpP1GInqwx7jSfNsuY-gIRX5W4Va8y-B8iQvy3yY-f420rtgh_ROH4Y5iw5HKLVTRhW1wS2Knk9S-eMOabh878tRiAuLljGt2dr_prDkSHEp_8-iV0qhrGdGSErjV7LOGH6dSEDuBzXRqZ5GXbojuLE67t2BdZI8Vi0Ai7AsoYocW8ZGO6x6bOr41mJ9Ss9bqethjxVpCu-NVlKAXTWdQW8Gntv3oxeluE1h_nZWA81-uGWZ308kfNW8yv0gArr25ECxmOZcGmEZnpSBHmiubDhUxBKKviTCwk-b6Bk__bx__www.aliexpress.com%2f&x5step=1,False,NONE,,An AliExpress captcha verification page indicating unusual traffic.
a.pl,https://a.pl/,True,NONE,,The a.pl domain is for sale.
a.fr,http://a.fr,False,NONE,"27.49, 56.09, 274.99, 615.99, 32.08, 59.37, 168.66, 240.9, 339.79, 255.74, 339.79, 54.53, 117.79, 229.15, 549.99, 274.99, 382.07, 366.65, 477.86, 183.33, 320.52, 54.99, 102.29, 173.68, 36.65, 21.08, 21.08, 366.65, 477.86, 27.04, 40.59, 28.86, 38.5, 183.33, 320.52, 64.15, 87.99, 54.99, 102.29, 174.15, 286.0, 109.98, 174.79, 59.58, 76.43, 56.34, 37.7, 58.29, 32.99, 65.89, 34.05, 50.48, 32.99",A French Amazon storefront offering a wide range of products with Black Friday deals.
a.pw,https://a.pw/,True,NONE,,A domain name listing indicating that the domain a.pw may be for sale.
a.io,https://a.io,True,56000,"56000, 56000, 22700, 200000, 35500, 26800, 90000, 37600, 22000, 42500, 34900, 26700, 69900, 33200, 79000, 39000, 24000, 98000, 75000, 60000, 55900, 3700, 28000, 38000, 10500, 39000, 14100, 6900, 18900, 4500, 8000, 39700, 10000, 50000, 29000, 28900, 36500, 44300, 27500, 88900, 79000, 16900, 44300, 175000, 185000, 75000, 90000, 98500, 98000, 78900, 5800, 8000, 18000, 1700, 33600, 1500, 26000, 2500, 2500, 28800, 3600, 1500, 9900, 46000, 2500, 15000, 99000, 400000, 2500, 80000, 1300, 99000, 99000, 41700, 41700, 17000, 17000, 88000, 88000, 37000, 37000, 17900, 17900, 1700, 1700, 33600, 33600, 1500, 1500, 26000, 26000, 2500, 2500, 2500, 2500, 28800, 28800, 3600, 3600, 1500, 1500, 9900, 9900, 46000, 46000, 2500, 2500, 15000, 15000, 99000, 99000, 400000, 400000, 2500, 80000, 80000, 1300, 1300",A domain marketplace listing various domain names for sale with buy-now pricing.
a.kg,http://a.kg,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 169000, 115000, 500000, 181720, 6800000, 1500000, 350000, 60000, 1750, 80, 123, 8900, 59, 8900, 59, 8900, 59, 8900, 59, 49000, 88580, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 11000, 30000, 110000, 150000, 100000, 50000, 12880, 78000, 3960, 2600, 4880, 2600, 110000, 50, 27.16, 58.85, 3850, 4730, 11000",A marketplace selling 1-letter and other short internet domain names.
a.sb,https://a.sb,True,NONE,,The domain a.sb is for sale.
a.ro,http://a.ro,False,NONE,"1.152, 1.0, 1.306",RO24 is a Romanian news portal providing press reviews and the latest headlines.
a.sg,http://a.sg,False,NONE,,An online Singapore-based furniture store.
a.sh,https://www.google.com/,False,NONE,,A snippet of Google’s interface text (About/Store/Feedback and the 'I'm Feeling' prompts).
a.sk,https://a.sk/,False,NONE,,This is the domain name a.sk.
a.st,https://astrit.co/,False,NONE,,A site about Astrit Cam showcasing gesture-based navigation for a webcam.
a.sv,https://emedia.foundation/,False,NONE,,eMedia Foundation is an international IT services company and charitable foundation offering discounted/free services and charitable projects.
a.tm,http://a.tm/,False,NONE,,Promotional landing page for the premium a.tm domain.
a.td,https://sedo.com/search/details/?partnerid=324561&language=us&domain=a.td&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage,True,25799,25799,"The domain a.td is for sale with a Buy Now price of $25,799."
a.pn,http://a.pn,True,NONE,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 8900, 8900, 8900, 8900, 49000, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 100000, 88580, 18000, 12000, 16800, 16800, 20, 4800, 50000, 204, 500000, 500, 177000, 53, 50, 100000, 30000, 48, 100000, 48, 150000, 48, 100000, 48, 50000, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 8900, 59000, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 58.85, 22880, 52880, 12880, 22880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 8900",A marketplace listing ultra-short (1-letter to few-letter) domain names for sale.
a.tt,https://a.tt/,False,NONE,,A 404 Not Found page indicating the requested URL is no longer available.
a.to,http://a.to/,False,NONE,,"a.to is a URL-shortening domain operated by Asadal Co., Ltd."
a.ms,http://a.ms,True,NONE,"56000, 56000, 22700, 22700, 200000, 200000, 35500, 35500, 26800, 26800, 90000, 90000, 37600, 37600, 22000, 22000, 42500, 42500, 34900, 34900, 26700, 26700, 69900, 69900, 33200, 33200, 79000, 79000, 39000, 39000, 24000, 24000, 98000, 98000, 75000, 75000, 60000, 55900, 55900, 3700, 3700, 28000, 28000, 38000, 38000, 10500, 10500, 39000, 39000, 14100, 14100, 6900, 6900, 18900, 18900, 4500, 4500, 8000, 8000, 39700, 39700, 10000, 10000, 50000, 50000",A domain marketplace listing multiple domains for sale with buy-now pricing.
a.ua,https://a.ua/,False,NONE,,The domain is currently suspended due to hosting issues.
a.tv,https://a.tv/,False,NONE,,The website is the domain a.tv with no visible content.
a.vg,https://a.vg/,True,NONE,,The domain a.vg is a parked page indicating it is for sale.
a.uk,http://a.uk,False,NONE,"264.95, 289.95, 299.95, 349.95, 569.95, 739.95, 1899.95",Official Alpinestars site selling motorcycling gear and apparel.
a.uy,https://a.uy/,True,NONE,,a.uy is a parked domain page generated via Sedo Domain Parking.
a.ws,http://a.ws/,False,NONE,,A parked domain page for website.ws with a forwarding link to a.ws and the slogan 'Your Internet Address For Life'.
b.bw,http://b.bw/,False,NONE,,B.BW is a free beta URL shortener project by AviFox.
b.ai,http://b.ai,True,NONE,,A premium domain trading marketplace listing the b.ai domain for sale.
b.af,https://b.af,True,NONE,"88.65, 1329.74",A Melbourne weather forecast website currently for sale.
b.bo,https://b.bo/,False,NONE,,"An obfuscated sequence of .bo tokens and a distorted URL, not a readable website."
b.cc,https://b.cc/,False,NONE,,A Chinese online gaming platform with wallet features and game services.
a.sx,http://a.sx,True,NONE,"1300, 1500, 1700, 1800, 2100, 2200, 2300, 2400, 2500, 2700, 3200, 3600, 3700, 4500, 4900, 5800, 6900, 8000, 9900, 10000, 10500, 14100, 15000, 16900, 17000, 17900, 18000, 18900, 22000, 22700, 24000, 26000, 26700, 26800, 27500, 28000, 28800, 28900, 29000, 33200, 33600, 34900, 35500, 36500, 37600, 38000, 39000, 39700, 41700, 42500, 44300, 46000, 50000, 55900, 56000, 60000, 69900, 75000, 78900, 79000, 80000, 88000, 88900, 90000, 98000, 98500, 99000, 175000, 185000, 190000, 200000, 250000, 400000",A domain marketplace listing multiple domains for sale with buy-now prices.
b.cg,http://b.cg/,False,NONE,,A parked domain page for b.cg with contact details.
b.cn,http://b.cn/,False,NONE,,"A private personal website seeking venture capital and offering to buy source code for classified ads, dating, and auction platforms."
b.co,https://b.co,False,NONE,20000000,"Global fashion company Bestseller and its brands, reach, and sustainability initiatives."
b.cz,https://b.cz,False,NONE,40816326.53,Full-service international marketing agency specializing in data-driven marketing and advertising technology.
b.ee,https://b.ee/,False,NONE,,A 404 error page indicating the requested link is not available.
b.et,https://b.et,False,NONE,,A UK betting exchange offering real-time trading tools and competitive commission plans.
b.dk,https://b.dk,False,NONE,,A Danish news website (Berlingske) offering articles and subscription services.
b.fm,https://b.fm/,False,NONE,,A Sedo domain parking page for the b.fm domain.
b.fo,https://www.b.fo/,False,NONE,,"The official site for the Tórshavn Marathon 2025, featuring live streaming and results."
b.gg,http://b.gg/,True,NONE,,A listing for the rare single-letter domain b.gg.
b.gd,https://b.gd/,False,NONE,,A page on the b.gd domain with a contact form.
b.de,https://www.binance.com/en?ref=47561193,False,NONE,"85070.18, 2777.43, 836.27, 1.96, 1.16, 0.0423, 0.2923, 0.1598, 0.1221, 0.3725, 155121685346, 57481821004, 1000000000","Binance is a cryptocurrency exchange platform for buying, trading, and investing in crypto."
b.gl,https://www.b.gl/,False,NONE,,A webpage displaying a 403 Forbidden access error.
b.gs,https://b.gs/,True,NONE,,The domain b.gs is for sale.
b.gp,https://website.org/404?domain=b.gp,False,NONE,,The site promotes registering and hosting a free website under the b.gp domain managed by Website.org.
b.gt,https://b.gt/cgi-sys/defaultwebpage.cgi,False,NONE,,A default hosting error page indicating DNS/IP address issues and site unavailability.
b.hm,http://b.hm/,True,NONE,,A domain name (b.hm) that is for sale.
b.ht,https://b.ht/,True,NONE,,A domain name is for sale; offers are welcome via the listed email.
b.ke,https://sedo.com/search/details/?partnerid=324561&language=us&domain=b.ke&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage,True,NONE,,The domain b.ke is for sale on Sedo.
b.io,https://b.io,False,NONE,,"B.io is a platform that creates, updates, and synchronizes living biographies for artists, musicians, writers, and other professionals across the internet."
b.is,https://www.b.is/,False,NONE,,B Capital ehf is a family-owned investment firm focused on long-term growth across the Nordic region with a diversified portfolio.
b.kz,https://b.kz/,True,NONE,,The domain b.kz is for sale.
b.ls,https://b.ls/,False,NONE,,A 404 Not Found page indicating the requested link is no longer available.
b.me,http://b.me/,False,NONE,,b.me is a registered domain name that is currently unavailable.
b.mr,http://b.mr/,False,NONE,,Default nginx welcome page indicating the nginx web server is installed and running.
b.ml,https://b.ml/,True,80000,80000,"A domain for sale (B.ml) with a buy-now price of $80,000 listed on Spaceship."
b.mw,https://www.bmw.com/en/index.html,False,NONE,,"Official international BMW website with news, products, and experiences."
b.my,https://b.my/,False,NONE,,A link hub service that gathers all your social media links in one place.
b.nf,https://b.nf/,False,NONE,,A JavaScript snippet that alerts the current domain.
b.pe,https://b.pe/,False,NONE,,"A domain name, b.pe."
b.pl,https://b.pl,True,NONE,0,The b.pl domain is for sale via negotiation; no fixed buy-it-now price.
b.ro,http://b.ro,False,NONE,"1.15, 1.31, 1.0",RO24 is a Romanian news portal aggregating headlines and currency rates.
b.sb,https://b.sb,False,NONE,"123.45, 264.45, 270.09, 191.73, 81.73, 2590.82, 1227.19, 57.18, 609.0, 799.91, 69.0",A Russian-language deals and discounts site listing electronics and gadgets.
b.sg,https://b.sg/,False,NONE,,"This is the homepage for Broken Sceptre Games, an indie game developer based in Singapore."
b.sc,https://answerharbor.com/2025/06/20/bsc-degrees-fields-of-study-and-salary-expectations/?fi=0&cid=3c4ac6a6-e084-40ba-8d49-57498b22786e&sub=b.sc&hide_featured=1,False,NONE,"45000, 55000, 60000, 65000, 70000, 75000, 80000, 85000, 90000, 95000, 100000, 110000, 120000, 140000, 150000, 170000","A website article on AnswerHarbor.com about BSc degrees, fields of study, and salary expectations."
b.sh,https://introvert.com/?domain=b.sh,True,NONE,,A domain name (introvert.com) offered for sale; contact to inquire.
b.sk,https://b.sk/,True,NONE,,A domain (b.sk) for sale inviting offers.
b.kg,http://b.kg,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 80, 123, 8900, 59, 8900, 59, 8900, 59, 8900, 59, 8900, 59, 49000, 110000, 50000, 500000, 177000, 53, 88580, 18000, 12000, 16800, 16800, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 100000, 50000, 12880, 78000, 3960, 2600, 4880, 8900, 8900, 8900, 110000, 58.85, 27.16",A directory-style site listing for-sale 1-letter/short internet domains with buy-now options.
b.st,http://b.st/,False,NONE,,A coming-soon page for a .ST domain registered with nic.st.
b.sv,https://domgator.com/b-sv,False,NONE,,A temporary 503 error page indicating the site is unavailable due to maintenance or capacity issues.
b.td,https://b.td/,False,NONE,,A redirect page that auto-redirects to MapleUp and MapleStory BGM over a secure connection.
b.tc,https://b.tc,False,NONE,,"BTC Inc is a site promoting Bitcoin conferences, Bitcoin Magazine, and corporate Bitcoin education services."
b.tm,http://b.tm/,False,NONE,,A landing page promoting the premium b.tm (.tm) domain name.
b.tt,http://b.tt,True,NONE,,The site is a marketplace listing the b.tt domain name for sale.
b.vu,http://b.vu/,True,NONE,,The domain b.vu is for sale.
b.ua,https://b.ua/,True,NONE,,A for-sale domain B.UA offering a memorable brand name for websites.
b.ws,http://b.ws/,False,NONE,,A landing page for Website.ws promoting its domain/address services.
c.ac,https://c.ac/,False,NONE,,A page confirming a custom domain is set up and ready to use for branded URL shortening on Your.Link.
b.mk,http://b.mk,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 25000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 8900, 8900, 8900, 8900, 49000, 110000, 20, 4800, 400000, 19800, 8200, 100000, 30000, 100000, 150000, 100000, 50000, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 78000, 3960, 2600, 2600, 2600, 2600, 2600, 3960, 4880, 2600, 8900, 8900, 8900, 8900, 8900, 22880, 52880, 12880, 22880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 12880, 59000, 3850, 3850, 3850, 3850, 3850, 3850, 4730, 3850, 59000, 3850",A marketplace offering one-character and other short internet domain names for sale.
c.ai,https://character.ai/,False,NONE,,Character.ai is an AI chat platform that lets you chat with millions of characters.
c.af,https://c.af/,False,NONE,,A philosophy blog called Mindblown.
c.at,https://c.at/,False,NONE,,A 404 Not Found page indicating the requested URL is no longer available.
c.am,https://c.am/,True,NONE,,A parked domain page for c.am powered by Sedo Domain Parking.
c.bo,https://c.bo/,False,NONE,,An obfuscated sequence of .bo domain-like tokens with a broken URL; no sale information detected.
c.bw,http://c.bw/,False,NONE,,A playful recipe site titled 'C is for Cooking!' about the adventures of an orange fox.
c.cc,https://c.cc/,False,NONE,,A personal bio page for Brian Cartmell.
b.pn,http://b.pn,True,1750,"57500, 13490, 45169, 257000, 13882, 11800, 100000, 25000, 12000, 7700, 100000, 500000, 181720, 169000, 115000, 85000, 57338, 44145, 19900, 11000, 6800000, 1500000, 350000, 60000, 1750, 123, 8900, 49000, 50000, 177000, 88580, 18000, 16800, 20, 4800, 400000, 19800, 8200, 30000, 150000, 59000, 3850, 4730, 22880, 52880, 12880, 78000, 3960, 2600, 4880, 50, 59, 204, 100, 53, 110000",A marketplace listing short one-character and other compact domain names for sale and investment.
c.co,https://commande.com/,False,NONE,,A French-language login page for Commande.com.
c.cm,https://c.cm/,True,270000,270000,"c.cm is a domain listed for sale with a buy-now price of $270,000 via Spaceship.com."
c.cv,https://c.cv/,False,NONE,,Default nginx welcome page indicating a running nginx web server.
c.cn,http://c.cn/,False,NONE,,"A private personal website seeking venture capital to build a large commercial platform and to purchase source code for classified ads, dating, and auction platforms."
c.cg,http://c.cg/,False,NONE,,"A parked domain page for c.cg with contact options (email, QQ/WeChat, Telegram)."
c.cz,http://c.cz,False,NONE,,A Czech directory listing various registries and encyclopedia topics.
c.dk,https://c.dk/,False,NONE,,A page describing and promoting YouSee Mail and how to obtain an email address with the YouSee domain.
c.gd,https://c.gd/,False,NONE,,A 403 Forbidden error page from the domain c.gd.
c.de,https://www.chip.de/,False,NONE,600,"CHIP.de is a German technology news, reviews, and consumer advice portal."
c.et,https://musta.ng/,False,NONE,,"Mustang (野马) is a personal brand site for an internet product investor and entrepreneur focused on domains, stock, and crypto."
c.gp,https://c.gp/,True,NONE,,The domain c.gp is a parked domain offered for sale.
c.gs,https://c.gs/,True,NONE,,A domain name (c.gs) that may be for sale.
c.gt,https://c.gt,False,NONE,,Montreal-based CanaTec markets a wide range of electronics and consumer goods worldwide under its brand.
c.gl,http://c.gl,True,NONE,,A domain sales landing page indicating the domain c.gl is for sale.
c.je,http://c.je/,False,NONE,,A URL shortening tool prompting users to enter a URL.
c.hr,http://c.hr,True,NONE,,A domain registrar/hosting service indicating the domain c.hr is for sale.
c.hm,https://c.hm/#/,False,NONE,"10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 80","A chat prompt and conversation management interface with prompts, history, and settings."
c.im,https://c.im/explore,False,NONE,610000000000,EU-hosted independent Mastodon server for open-minded English-speaking users across the fediverse.
c.kg,https://restoran.kg/,False,NONE,,A restaurant website domain (restoran.kg) currently under construction.
c.ke,https://sedo.com/search/details/?partnerid=324561&language=us&domain=c.ke&origin=sales_lander_15&utm_medium=Parking&utm_campaign=offerpage,True,275000,275000,"The domain c.ke is for sale on Sedo with a Buy Now price of 250,000 EUR."
c.ki,https://c.ki/,False,NONE,,A playful cookie-themed page.
c.kz,https://c.kz/,True,NONE,,The domain c.kz is for sale.
c.lu,https://c.lu/,False,NONE,,Default nginx test page used to verify the web server is running.
c.me,https://c.me,False,NONE,,A free AI-powered brand-name generator and .ME domain information site.
c.ly,https://c.ly,False,NONE,0,Countly is a privacy-focused first-party analytics and customer engagement platform.
c.nf,https://c.nf,False,NONE,,"CNF is a provider of enterprise-grade network security, edge computing, and related security services."
c.my,https://www.c.my/,False,NONE,,A URL shortening service with a global distributed PoP network by Pickafoo Solutions.
c.la,https://9999.la/,False,NONE,,"A coming-soon business services site offering domain registration, hosting, and digital marketing tools."
c.nz,https://c.nz/,True,NONE,,The c.nz domain is listed for sale.
c.rw,https://tmstr1.shadowlandschronicles.com/pl/H4sIAAAAAAAAAw3P3XqCIBgA4FsSmI.5Q0ty.FMSHyZnIjYX2KyspVe_7uB9kQl9vGrRCvsk7DAy6BQEWCMcBOSkw.BTwXgVAxvNReGUWKyP49xRmrQElnLgWQks45I3hjhykPLRLEqAN_WwZWdTsd98YFczTFZXIdWAvEq4rPD6Eixd15h6BxviAngkknFTDYBkfL9pGJGq5GxATh01c.O.ERD2NBbNAqZ6F_fb2jHSznfSDAoV8NodLr3fWbrvzpyCixpI4E8T5TWi4CmhT34xe4WLjxK7pHBmU2NZ57F_ltX0MHH_U7yP6RyuuySSb8XSAlvEht_AqlQfWWSA8zx21w789yV.5fbLB.GF_wWh6vBBAQAA/master.m3u8,False,NONE,,404 Not Found error page.
c.pl,https://website.org/404?domain=c.pl,False,NONE,,A page promoting free website registration for the c.pl domain through Website.org.
c.sc,https://c.sc/,False,NONE,,"Homepage for CSC Corp., a global social media partner."
c.sg,http://c.sg/?nfo=1&pr=ZXlKMGVYQWlPaUpLVjFRaUxDSmhiR2NpT2lKSVV6STFOaUo5LmV5SnBZWFFpT2pFM05qTTROVGs1T1Rnc0ltVjRjQ0k2TVRjMk16ZzJOVFExT0N3aWFuUnBJam9pTmpreU1qVmxNV1UxWTJNeVl5MDJPVEl5TldVeFpUVmpZemRrSWl3aWFYTnpJam9pWXk1elp5SXNJbUYxWkNJNld5SmpMbk5uSWwwc0luUjVjR1VpT2lKclpYbDNiM0prSW4wLjJXR01mZjVwNjUyZWI5MzJoQU93bUZaMVpZWV95aWJsVzFndGZsUlRHWnc%3D,False,NONE,,A privacy policy bot page on the c.sg domain.
c.nu,https://www.c.nu/,False,NONE,0,A Swedish free blog hosting service on c.nu offering free blogging with optional premium features and a custom domain option.
c.sk,https://c.sk/,False,NONE,,A 404 Not Found page indicating the requested URL is no longer available.
c.sh,http://c.sh/,False,NONE,,c.sh is a premium .sh domain name.
c.sv,https://c.sv,False,NONE,,xTom is a Düsseldorf-based professional hosting and cloud infrastructure provider offering IaaS and data center services.
c.st,https://c.st,False,NONE,,Spiking is an online stock trading AI platform and trader education community led by Dr. Clemen Chiang.
c.tv,https://c.tv/,False,NONE,,An access-blocked page indicating automated requests are blocked from accessing the site.
c.tm,http://c.tm/,False,NONE,,Landing page promoting the premium domain name c.tm.
c.td,http://www.c.td/,True,NONE,1.5,A Netim domain registration page with sale contact options and hosting offers.
c.tj,http://c.tj/,False,NONE,,A Chinese-language error/blocked-access page indicating the service is offline or not accessible.
c.vg,https://c.vg/,True,NONE,,A domain parking page indicating the c.vg domain is for sale.
c.uk,https://c.uk/,False,NONE,,The domain C.uk is coming soon and provides a contact email for the owner.
c.vu,https://c.vu/,False,NONE,,"c.vu is a URL shortening and link management service offering analytics, custom redirects, and API access."
c.ws,http://c.ws/,False,NONE,,Website.ws appears to be a domain/address service branded as 'Your Internet Address For Life'.
d.ac,https://d.ac/,False,NONE,,A 404 Not Found page with no sale information.
c.ua,https://c.ua/,True,NONE,,"A for-sale Ukrainian .ua domain offering exclusive short-brandable domains (e.g., c.ua, comfy.ua, citrus.ua, crypto.ua, casino.ua)."
d.af,http://d.af,False,NONE,,"INWX is a domain registrar offering domain registration, hosting, SSL, and related services."
d.am,https://d.am/,True,199999,199999,"d.am is a domain for sale offered at a fixed price of $199,999."
d.at,https://d.at,False,NONE,,D.AT is a data engineering and backtesting platform for creating stock price prediction models.
d.ar,https://d.ar/,False,NONE,,A Spanish-language online discussion forum page.
d.bz,https://d.bz,False,NONE,,Bitly's page promoting custom domains for branded short links.
d.cg,http://d.cg/,False,NONE,,A website currently under construction for D.CG with an ICP license.
d.cl,https://d.cl/,True,10000,11000,"d.cl is a domain currently for sale, offered at a price of 10,000 EUR."
d.bo,https://d.bo/,False,NONE,"5, 3, 2, 1, 9",Obfuscated domain-like text with a garbled URL and no indication of sale.
d.cm,http://d.cm/,False,NONE,,"Parked domain page for d.cm with contact information (email, QQ/WeChat, and Telegram)."
d.cc,https://d.cc/en-US,False,NONE,"2100.0, 1120.0, 420.0, 280.0, 280.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4200.0",AI-powered digital menu platform that digitizes paper menus and generates QR-code menus for restaurants.
d.co,https://www.searchhounds.com/articles/noma-culinary-innovation-in-copenhagen.html?psystem=PW&domain=d.co&expId=parking_pw_4537_gdads-rsoc,False,NONE,,Parked domain page for d.co featuring a Noma restaurant article.
d.cn,https://d.cn,False,NONE,,"A Chinese mobile gaming portal providing game news, rankings, and downloads."
d.cx,https://d.cx/,False,NONE,,The page contains only an emoji and provides no information about a website or sale.
d.cv,http://d.cv,True,NONE,,A landing page marketing the premium one-character domain name D.CV available for sale through a broker.
d.cr,https://d.cr,False,NONE,,"A Chinese-language system maintenance page informing users about ongoing maintenance, progress, and browser support."
