tld,min_char,max_char,registration_price,provider
sb,1,63,53,netim
sc,1,63,111,netim
sd,2,63,95,netim
se,1,63,26,netim
sg,1,63,43,netim
sh,1,63,36,inwx
si,2,63,11,inwx
sj,,,,
sk,1,63,19,netim
sl,3,63,64,netim
sm,3,63,140,inwx
sn,3,63,32,netim
so,3,63,64,netim
sr,3,63,72,inwx
ss,3,63,1,netim
st,1,63,19,netim
su,2,63,24,netim
sv,2,63,148,inwx
sx,3,63,30,inwx
sy,2,63,306,inwx
sz,2,63,134,inwx
tc,2,63,40,inwx
td,1,63,127,netim
tf,2,63,12,inwx
tg,3,63,51,netim
th,2,24,5400,inwx
tj,2,63,118,inwx
tk,1,63,1,netim
tl,1,63,82,inwx
tm,1,63,563,netim
tn,2,63,26,netim
to,1,63,69,netim
tp,,,,
tr,2,63,40,inwx
tt,2,63,1123,inwx
tv,1,63,34,netim
tw,3,63,28,netim
tz,3,63,45,inwx
ua,1,63,51,netim
ug,3,63,43,netim
uk,1,63,12,inwx
um,,,,
us,3,63,12,inwx
uy,2,63,38,netim
uz,3,63,101,inwx
va,,,,
vc,2,63,34,netim
ve,1,63,270,inwx
vg,1,63,34,netim
vi,3,63,270,inwx
vn,3,63,51,netim
vu,1,63,78,netim
wf,2,63,12,inwx
ws,2,63,30,netim
ye,3,63,714,inwx
yt,2,63,12,inwx
za,2,63,37,inwx
zm,3,63,155,inwx
zw,3,63,186,inwx
